id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2020-01-14T03:00:46;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-01-13T14:53:28;75071
2;Rhode Island bypassing SQL;2020-01-13T17:48:50;Frozen online streamline;ISSUED;CREDIT_CARD;2020-01-14T09:35:56;68011
3;lime program;2020-01-13T13:03:53;parse Horizontal Shirt;ISSUED;PAYPAL;2020-01-13T13:54:26;82892
4;Buckinghamshire Director Gloves;2020-01-13T17:34:36;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2020-01-13T10:09:37;33894
5;attitude-oriented;2020-01-13T20:02:44;Integration structure;CANCELLED;PAYPAL;2020-01-13T22:10:14;72584
6;Internal Licensed Steel Towels RSS;2020-01-14T02:38:54;Chips;PAID;CREDIT_CARD;2020-01-14T03:34:34;90614
7;Toys Cotton;2020-01-13T19:08:15;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2020-01-13T16:51:39;42722
8;Arizona Barbados Dollar;2020-01-14T03:37:57;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2020-01-14T00:41:25;44406
9;Generic Ethiopian Birr Assurance;2020-01-13T16:06:48;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2020-01-14T00:02:18;93110
10;Concrete;2020-01-14T08:50:34;paradigms system;PAID;CREDIT_CARD;2020-01-13T11:16:46;93817
