id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-01-13T11:11:31;payment unleash Jamaican Dollar;1
2;Rest;2020-01-14T06:28:01;Plains;2
3;Quality Plastic plum;2020-01-13T10:48:23;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-01-14T07:15:35;Architect SSL;4
5;zero tolerance;2020-01-14T04:11:54;user-facing CSS;5
6;ADP Ouguiya;2020-01-14T00:08:22;Garden;6
7;auxiliary;2020-01-14T08:24:22;functionalities Bedfordshire withdrawal;7
8;Data;2020-01-13T11:22:23;Viaduct hybrid;8
9;mesh;2020-01-14T09:48:02;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-01-14T07:46:56;Re-engineered withdrawal Ball;10
