id;placed_date;status;code;invoice_id;customer_id
1;2020-01-14T01:48:18;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-01-14T01:25:03;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-01-13T10:42:11;COMPLETED;real-time;88753;3
4;2020-01-13T18:46:20;COMPLETED;Square Regional;82542;4
5;2020-01-14T00:37:28;PENDING;maroon Decentralized Bike;98183;5
6;2020-01-13T17:01:10;COMPLETED;program;52549;6
7;2020-01-14T07:17:05;COMPLETED;target;30578;7
8;2020-01-14T05:25:11;CANCELLED;input;43284;8
9;2020-01-14T05:51:13;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-01-14T06:56:18;COMPLETED;National lavender;4674;10
